"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"USP48",3.00279725244462e-12,0.509663877570784,0.226,0.29,6.00289198736203e-08,"USP48"
"STK40",3.008969473408e-12,1.83768486115537,0.181,0.14,6.01523087428993e-08,"STK40"
"KIAA0232",3.05717436504133e-12,1.95470124994896,0.243,0.204,6.11159727315412e-08,"KIAA0232"
"KAT6A",3.10462063196171e-12,0.99737058535723,0.342,0.449,6.20644710535465e-08,"KAT6A"
"IRF2BP2",3.29328553790213e-12,0.534661851265041,0.289,0.383,6.58360711882014e-08,"IRF2BP2"
"MSL2",3.38851359930776e-12,0.97083443569807,0.158,0.213,6.77397753637614e-08,"MSL2"
"SERINC1",3.42371278954655e-12,0.797149290187455,0.334,0.433,6.8443442375825e-08,"SERINC1"
"SAP30L",3.45011213465564e-12,0.535011921084952,0.103,0.144,6.89711916839009e-08,"SAP30L"
"TMEM43",3.73402648923522e-12,0.835867051140214,0.139,0.19,7.46469235463014e-08,"TMEM43"
"REL",3.78882498402131e-12,1.14541856950943,0.434,0.441,7.574240025557e-08,"REL"
"RNASET2",3.92804027313514e-12,1.08125291755142,0.564,0.631,7.85254531002445e-08,"RNASET2"
"TRMT1L",4.19907774712687e-12,0.755016745756934,0.087,0.128,8.39437632428132e-08,"TRMT1L"
"CAMK1D",4.442978281675e-12,2.31136277173023,0.227,0.195,8.88195788289649e-08,"CAMK1D"
"IMPA2",4.51757598716135e-12,1.6393399544753,0.155,0.115,9.03108615593426e-08,"IMPA2"
"RALGAPB",4.52720491009199e-12,0.579738405723286,0.119,0.165,9.05033533576489e-08,"RALGAPB"
